word_input            original_output       pattern_output      
brokenly              brokenli              broken              
brotherly             brotherli             brother             
brutus                brutu                 brutus              
buoy                  buoi                  buoy                
butcherly             butcherli             butcher             
buy                   bui                   buy                 
buying                bui                   buy                 
buys                  bui                   buy                 
cadmus                cadmu                 cadmus              
caduceus              caduceu               caduceus            
caelius               caeliu                caelius             
caius                 caiu                  caius               
calmly                calmli                calm                
campeius              campeiu               campeius            
candidatus            candidatu             candidatus          
canidius              canidiu               canidius            
canus                 canu                  canus               
captious              captiou               captious            
capucius              capuciu               capucius            
caraways              carawai               caraway             
carduus               carduu                carduus             
carous                carou                 carous              
cas                   ca                    cas                 
cassius               cassiu                cassius             
castaway              castawai              castaway            
castaways             castawai              castaway            
caucasus              caucasu               caucasus            
caus                  cau                   caus                
cedius                cediu                 cedius              
censorinus            censorinu             censorinus          
cerberus              cerberu               cerberus            
certainly             certainli             certain             
ces                   ce                    ces                 
charmingly            charmingli            charm               
chas                  cha                   chas                
chertsey              chertsei              chertsey            
chimney               chimnei               chimney             
chimneys              chimnei               chimney             
chirurgeonly          chirurgeonli          chirurgeon          
chorus                choru                 chorus              
churlishly            churlishli            churlish            
chus                  chu                   chus                
claudius              claudiu               claudius            
clay                  clai                  clay                
clays                 clai                  clay                
cleitus               cleitu                cleitus             
clerkly               clerkli               clerk               
clitus                clitu                 clitus              
clos                  clo                   clos                
clotharius            clothariu             clotharius          
cloy                  cloi                  cloy                
cloyed                cloi                  cloy                
cloying               cloi                  cloy                
cloys                 cloi                  cloy                
cneius                cneiu                 cneius              
cockney               cocknei               cockney             
coctus                coctu                 coctus              
cocytus               cocytu                cocytus             
coelestibus           coelestibu            coelestibus         
coldly                coldli                cold                
colossus              colossu               colossus            
cominius              cominiu               cominius            
commonly              commonli              common              
commune               commun                commune             
communicate           commun                communic            
communication         commun                communic            
communities           commun                communiti           
community             commun                communiti           
coney                 conei                 coney               
confus                confu                 confus              
confusedly            confusedli            confus              
conjointly            conjointli            conjoint            
constantly            constantli            constant            
continuantly          continuantli          continu             
convey                convei                convey              
conveying             convei                convey              
convoy                convoi                convoy              
copious               copiou                copious             
corambus              corambu               corambus            
coriolanus            coriolanu             coriolanus          
cornelius             corneliu              cornelius           
corruptly             corruptli             corrupt             
costly                costli                cost                
cotus                 cotu                  cotus               
counterfeitly         counterfeitli         counterfeit         
courteous             courteou              courteous           
courtly               courtli               court               
courtney              courtnei              courtney            
covertly              covertli              covert              
cowardly              cowardli              coward              
coy                   coi                   coy                 
crassus               crassu                crassus             
crispianus            crispianu             crispianus          
cry                   cry                   cri                 
crying                cry                   cri                 
cuckoldly             cuckoldli             cuckold             
cucullus              cucullu               cucullus            
cullionly             cullionli             cullion             
cunningly             cunningli             cun                 
curious               curiou                curious             
cydnus                cydnu                 cydnus              
cyprus                cypru                 cyprus              
cyrus                 cyru                  cyrus               
daedalus              daedalu               daedalus            
damascus              damascu               damascus            
dardanius             dardaniu              dardanius           
darius                dariu                 darius              
darkly                darkli                dark                
day                   dai                   day                 
days                  dai                   day                 
decay                 decai                 decay               
decayed               decai                 decay               
decaying              decai                 decay               
decays                decai                 decay               
decius                deciu                 decius              
deftly                deftli                deft                
deiphobus             deiphobu              deiphobus           
delay                 delai                 delay               
delayed               delai                 delay               
delaying              delai                 delay               
delays                delai                 delay               
demetrius             demetriu              demetrius           
denay                 denai                 denay               
des                   de                    des                 
deservedly            deservedli            deserv              
destroy               destroi               destroy             
destroyed             destroi               destroy             
destroying            destroi               destroy             
destroys              destroi               destroy             
devoutly              devoutli              devout              
died                  di                    die                 
dies                  di                    die                 
diffus                diffu                 diffus              
directly              directli              direct              
dis                   di                    dis                 
discontentedly        discontentedli        discont             
discreetly            discreetli            discreet            
dishonestly           dishonestli           dishonest           
dismay                dismai                dismay              
dismayed              dismai                dismay              
disobey               disobei               disobey             
disobeys              disobei               disobey             
disorderly            disorderli            disord              
dispersedly           dispersedli           dispers             
display               displai               display             
displayed             displai               display             
dispraisingly         dispraisingli         disprais            
disquietly            disquietli            disquiet            
distinctly            distinctli            distinct            
distractedly          distractedli          distract            
domitius              domitiu               domitius            
doomsday              doomsdai              doomsday            
doreus                doreu                 doreus              
drunkenly             drunkenli             drunken             
dry                   dry                   dri                 
duteous               duteou                duteous             
dying                 dy                    die                 
eagerly               eagerli               eager               
earnestly             earnestli             earnest             
earthly               earthli               earth               
ecus                  ecu                   ecus                
effus                 effu                  effus               
egeus                 egeu                  egeus               
eke                   ek                    eke                 
embay                 embai                 embay               
employ                emploi                employ              
employed              emploi                employ              
enceladus             enceladu              enceladus           
enchantingly          enchantingli          enchant             
enforcedly            enforcedli            enforc              
enjoy                 enjoi                 enjoy               
enjoyed               enjoi                 enjoy               
enjoying              enjoi                 enjoy               
enjoys                enjoi                 enjoy               
enobarbus             enobarbu              enobarbus           
envious               enviou                envious             
envoy                 envoi                 envoy               
ephesus               ephesu                ephesus             
epicurus              epicuru               epicurus            
epidaurus             epidauru              epidaurus           
epistrophus           epistrophu            epistrophus         
ere                   er                    ere                 
erebus                erebu                 erebus              
erjoy                 erjoi                 erjoy               
erpays                erpai                 erpay               
ersway                erswai                ersway              
ersways               erswai                ersway              
escalus               escalu                escalus             
espous                espou                 espous              
essay                 essai                 essay               
essays                essai                 essay               
ete                   et                    ete                 
etes                  et                    ete                 
euphronius            euphroniu             euphronius          
eve                   ev                    eve                 
evenly                evenli                even                
everlastingly         everlastingli         everlast            
ewe                   ew                    ewe                 
ewes                  ew                    ewe                 
exactly               exactli               exact               
exceed                exce                  exceed              
exceedingly           exceedingli           exceed              
excus                 excu                  excus               
exteriorly            exteriorli            exterior            
eye                   ey                    eye                 
eyed                  ei                    eye                 
eyes                  ey                    eye                 
eying                 ei                    eye                 
factious              factiou               factious            
faintly               faintli               faint               
familiarly            familiarli            familiar            
famous                famou                 famous              
fartuous              fartuou               fartuous            
fas                   fa                    fas                 
fastly                fastli                fast                
fatherly              fatherli              father              
fatuus                fatuu                 fatuus              
favouredly            favouredli            favour              
fay                   fai                   fay                 
feelingly             feelingli             feel                
fidius                fidiu                 fidius              
filius                filiu                 filius              
firmly                firmli                firm                
flaminius             flaminiu              flaminius           
flavius               flaviu                flavius             
flay                  flai                  flay                
flaying               flai                  flay                
fleshly               fleshli               flesh               
florentius            florentiu             florentius          
fly                   fly                   fli                 
flying                fly                   fli                 
fondly                fondli                fond                
foolishly             foolishli             foolish             
footboy               footboi               footboy             
footboys              footboi               footboy             
forbiddenly           forbiddenli           forbidden           
foresay               foresai               foresay             
formerly              formerli              former              
frankly               frankli               frank               
franticly             franticli             frantic             
fray                  frai                  fray                
frays                 frai                  fray                
freshly               freshli               fresh               
friday                fridai                friday              
fridays               fridai                friday              
friendly              friendli              friend              
frowningly            frowningli            frown               
fry                   fry                   fri                 
furious               furiou                furious             
gainsay               gainsai               gainsay             
gainsaying            gainsai               gainsay             
gainsays              gainsai               gainsay             
gallantly             gallantli             gallant             
galley                gallei                galley              
galleys               gallei                galley              
galloway              gallowai              galloway            
gallus                gallu                 gallus              
gamboys               gamboi                gamboy              
gawsey                gawsei                gawsey              
gay                   gai                   gay                 
geffrey               geffrei               geffrey             
gelidus               gelidu                gelidus             
general               gener                 general             
generally             gener                 general             
generals              gener                 general             
generation            gener                 generat             
generations           gener                 generat             
generous              gener                 generous            
genius                geniu                 genius              
gently                gentli                gentl               
ghastly               ghastli               ghast               
ghostly               ghostli               ghost               
gibingly              gibingli              gibe                
gingerly              gingerli              ginger              
gis                   gi                    gis                 
glorious              gloriou               glorious            
goldenly              goldenli              golden              
gorgeous              gorgeou               gorgeous            
gracious              graciou               gracious            
gray                  grai                  gray                
grey                  grei                  grey                
grievingly            grievingli            griev               
grievous              grievou               grievous            
gros                  gro                   gros                
guessingly            guessingli            guess               
guiderius             guideriu              guiderius           
gurney                gurnei                gurney              
guy                   gui                   guy                 
hackney               hacknei               hackney             
halfway               halfwai               halfway             
hardly                hardli                hard                
harshly               harshli               harsh               
has                   ha                    has                 
hautboy               hautboi               hautboy             
hautboys              hautboi               hautboy             
hay                   hai                   hay                 
hearsay               hearsai               hearsay             
heartly               heartli               heart               
heavenly              heavenli              heaven              
heinous               heinou                heinous             
helenus               helenu                helenus             
henricus              henricu               henricus            
hesperus              hesperu               hesperus            
hey                   hei                   hey                 
heyday                heydai                heyday              
hideous               hideou                hideous             
hied                  hi                    hie                 
hies                  hi                    hie                 
highly                highli                high                
highway               highwai               highway             
highways              highwai               highway             
hinckley              hincklei              hinckley            
hipparchus            hipparchu             hipparchus          
hirtius               hirtiu                hirtius             
his                   hi                    his                 
holiday               holidai               holiday             
holidays              holidai               holiday             
honestly              honestli              honest              
honey                 honei                 honey               
honeying              honei                 honey               
honorificabilitudinitatibus  honorificabilitudinitatibu  honorificabilitudinitatibus
horridly              horridli              horrid              
horseway              horsewai              horseway            
hortensius            hortensiu             hortensius          
hostilius             hostiliu              hostilius           
hous                  hou                   hous                
howe                  how                   howe                
hoy                   hoi                   hoy                 
hoyday                hoydai                hoyday              
hujus                 huju                  hujus               
humphrey              humphrei              humphrey            
hungerly              hungerli              hunger              
hurlyburly            hurlyburli            hurlybur            
hymenaeus             hymenaeu              hymenaeus           
icarus                icaru                 icarus              
ice                   ic                    ice                 
ides                  id                    ide                 
idly                  idli                  idl                 
imperfectly           imperfectli           imperfect           
impious               impiou                impious             
importantly           importantli           import              
incessantly           incessantli           incess              
indirectly            indirectli            indirect            
infringed             infring               infr                
infus                 infu                  infus               
inlay                 inlai                 inlay               
instantly             instantli             instant             
inwardly              inwardli              inward              
ire                   ir                    ire                 
ireful                ir                    ire                 
ise                   is                    ise                 
janus                 janu                  janus               
jay                   jai                   jay                 
jays                  jai                   jay                 
jealous               jealou                jealous             
jesus                 jesu                  jesus               
jockey                jockei                jockey              
jointly               jointli               joint               
journey               journei               journey             
journeying            journei               journey             
journeys              journei               journey             
joy                   joi                   joy                 
joyed                 joi                   joy                 
joyous                joyou                 joyous              
joys                  joi                   joy                 
julius                juliu                 julius              
junius                juniu                 junius              
justeius              justeiu               justeius            
justly                justli                just                
kersey                kersei                kersey              
key                   kei                   key                 
keys                  kei                   key                 
kidney                kidnei                kidney              
kindly                kindli                kind                
kingly                kingli                king                
knightly              knightli              knight              
knowingly             knowingli             know                
labienus              labienu               labienus            
lackey                lackei                lackey              
lackeying             lackei                lackey              
lackeys               lackei                lackey              
langley               langlei               langley             
lartius               lartiu                lartius             
las                   la                    las                 
lastly                lastli                last                
laus                  lau                   laus                
lavishly              lavishli              lavish              
lay                   lai                   lay                 
laying                lai                   lay                 
lays                  lai                   lay                 
lazarus               lazaru                lazarus             
learnedly             learnedli             learn               
lentus                lentu                 lentus              
leonatus              leonatu               leonatus            
lepidus               lepidu                lepidus             
les                   le                    les                 
lewdly                lewdli                lewd                
lied                  li                    lie                 
lies                  li                    lie                 
ligarius              ligariu               ligarius            
lightly               lightli               light               
linsey                linsei                linsey              
llous                 llou                  llous               
loathly               loathli               loath               
longly                longli                long                
lordly                lordli                lord                
los                   lo                    los                 
lovingly              lovingli              love                
lubberly              lubberli              lubber              
lucianus              lucianu               lucianus            
lucilius              luciliu               lucilius            
lucius                luciu                 lucius              
lucullius             luculliu              lucullius           
lucullus              lucullu               lucullus            
luscious              lusciou               luscious            
lustrous              lustrou               lustrous            
lying                 ly                    lie                 
maccabaeus            maccabaeu             maccabaeus          
magnus                magnu                 magnus              
maidenly              maidenli              maiden              
malignantly           malignantli           malign              
malmsey               malmsei               malmsey             
mamillius             mamilliu              mamillius           
manchus               manchu                manchus             
manifoldly            manifoldli            manifold            
mannerly              mannerli              manner              
manus                 manu                  manus               
marcellus             marcellu              marcellus           
marcius               marciu                marcius             
marcus                marcu                 marcus              
martius               martiu                martius             
marullus              marullu               marullus            
mas                   ma                    mas                 
masterly              masterli              master              
may                   mai                   may                 
mayday                maydai                mayday              
menelaus              menelau               menelaus            
menenius              meneniu               menenius            
mephostophilus        mephostophilu         mephostophilus      
mes                   me                    mes                 
metellus              metellu               metellus            
meus                  meu                   meus                
midway                midwai                midway              
mildly                mildli                mild                
minimus               minimu                minimus             
mis                   mi                    mis                 
missingly             missingli             miss                
misus                 misu                  misus               
modestly              modestli              modest              
monday                mondai                monday              
money                 monei                 money               
moneys                monei                 money               
monkey                monkei                monkey              
monkeys               monkei                monkey              
monstrous             monstrou              monstrous           
monthly               monthli               month               
montjoy               montjoi               montjoy             
motley                motlei                motley              
mourningly            mourningli            mourn               
mous                  mou                   mous                
movingly              movingli              move                
movousus              movousu               movousus            
mowbray               mowbrai               mowbray             
moy                   moi                   moy                 
moys                  moi                   moy                 
mrs                   mr                    mrs                 
muliteus              muliteu               muliteus            
mulmutius             mulmutiu              mulmutius           
murray                murrai                murray              
mus                   mu                    mus                 
mutius                mutiu                 mutius              
narcissus             narcissu              narcissus           
natus                 natu                  natus               
nay                   nai                   nay                 
needly                needli                need                
neglectingly          neglectingli          neglect             
neighbourly           neighbourli           neighbour           
neoptolemus           neoptolemu            neoptolemus         
nessus                nessu                 nessus              
news                  new                   news                
niggardly             niggardli             niggard             
nightly               nightli               night               
nilus                 nilu                  nilus               
ningly                ningli                ning                
ninus                 ninu                  ninus               
nly                   nly                   nli                 
noonday               noondai               noonday             
northerly             northerli             norther             
norway                norwai                norway              
norways               norwai                norway              
nos                   no                    nos                 
nosegays              nosegai               nosegay             
notedly               notedli               note                
nous                  nou                   nous                
nubibus               nubibu                nubibus             
nuntius               nuntiu                nuntius             
obey                  obei                  obey                
obeyed                obei                  obey                
obeying               obei                  obey                
obeys                 obei                  obey                
obloquy               obloqui               obloquy             
observingly           observingli           observ              
octavius              octaviu               octavius            
oddly                 oddli                 odd                 
ode                   od                    ode                 
odes                  od                    ode                 
odious                odiou                 odious              
ofephesus             ofephesu              ofephesus           
olympus               olympu                olympus             
one                   on                    one                 
ones                  on                    one                 
ope                   op                    ope                 
openly                openli                open                
opes                  op                    ope                 
orderly               orderli               order               
ore                   or                    ore                 
orpheus               orpheu                orpheus             
osprey                osprei                osprey              
outstay               outstai               outstay             
outwardly             outwardli             outward             
overbuys              overbui               overbuy             
overjoyed             overjoi               overjoy             
overplus              overplu               overplus            
ovidius               ovidiu                ovidius             
owe                   ow                    owe                 
owed                  ow                    owe                 
owes                  ow                    owe                 
owing                 ow                    owe                 
oyes                  oy                    oye                 
pacorus               pacoru                pacorus             
palfrey               palfrei               palfrey             
palfreys              palfrei               palfrey             
pandarus              pandaru               pandarus            
panderly              panderli              pander              
pantingly             pantingli             pant                
paracelsus            paracelsu             paracelsus          
parley                parlei                parley              
parlous               parlou                parlous             
parsley               parslei               parsley             
particularly          particularli          particular          
partly                partli                part                
pas                   pa                    pas                 
patay                 patai                 patay               
pathway               pathwai               pathway             
pathways              pathwai               pathway             
patroclus             patroclu              patroclus           
pausingly             pausingli             paus                
pay                   pai                   pay                 
paying                pai                   pay                 
pays                  pai                   pay                 
pecus                 pecu                  pecus               
peevishly             peevishli             peevish             
pegasus               pegasu                pegasus             
peloponnesus          peloponnesu           peloponnesus        
perfectly             perfectli             perfect             
permafoy              permafoi              permafoy            
perpendicularly       perpendicularli       perpendicular       
perseus               perseu                perseus             
pertly                pertli                pert                
perus                 peru                  perus               
pheebus               pheebu                pheebus             
phibbus               phibbu                phibbus             
philarmonus           philarmonu            philarmonus         
philotus              philotu               philotus            
phoebus               phoebu                phoebus             
phorbus               phorbu                phorbus             
photinus              photinu               photinus            
pied                  pi                    pie                 
pies                  pi                    pie                 
pigrogromitus         pigrogromitu          pigrogromitus       
pindarus              pindaru               pindarus            
pious                 piou                  pious               
piteous               piteou                piteous             
pius                  piu                   pius                
plaguy                plagui                plaguy              
plautus               plautu                plautus             
play                  plai                  play                
played                plai                  play                
playing               plai                  play                
plays                 plai                  play                
pleasantly            pleasantli            pleasant            
plenteous             plenteou              plenteous           
plus                  plu                   plus                
plutus                plutu                 plutus              
ply                   ply                   pli                 
politicly             politicli             polit               
polonius              poloniu               polonius            
polydamus             polydamu              polydamus           
pompeius              pompeiu               pompeius            
pompey                pompei                pompey              
pompous               pompou                pompous             
popilius              popiliu               popilius            
popingay              popingai              popingay            
portly                portli                port                
posthumus             posthumu              posthumus           
poultney              poultnei              poultney            
poys                  poi                   poy                 
praeclarissimus       praeclarissimu        praeclarissimus     
pray                  prai                  pray                
praying               prai                  pray                
prays                 prai                  pray                
precious              preciou               precious            
pregnantly            pregnantli            pregnant            
preparedly            preparedli            prepar              
prey                  prei                  prey                
preys                 prei                  prey                
priamus               priamu                priamus             
proceed               proce                 proceed             
procrus               procru                procrus             
proculeius            proculeiu             proculeius          
profoundly            profoundli            profound            
prometheus            prometheu             prometheus          
properly              properli              proper              
proteus               proteu                proteus             
protheus              protheu               protheus            
pry                   pry                   pri                 
prying                pry                   pri                 
publicly              publicli              public              
publius               publiu                publius             
purlieus              purlieu               purlieus            
purus                 puru                  purus               
pyramus               pyramu                pyramus             
pyrrhus               pyrrhu                pyrrhus             
quaintly              quaintli              quaint              
quay                  quai                  quay                
queubus               queubu                queubus             
quickly               quickli               quick               
quietus               quietu                quietus             
quinapalus            quinapalu             quinapalus          
quintus               quintu                quintus             
ramsey                ramsei                ramsey              
rankly                rankli                rank                
rashly                rashli                rash                
ray                   rai                   ray                 
rayed                 rai                   ray                 
rays                  rai                   ray                 
rebus                 rebu                  rebus               
refus                 refu                  refus               
rejoicingly           rejoicingli           rejoic              
repay                 repai                 repay               
repaying              repai                 repay               
repays                repai                 repay               
reportingly           reportingli           report              
resolvedly            resolvedli            resolv              
revengingly           revengingli           reveng              
rey                   rei                   rey                 
rhesus                rhesu                 rhesus              
richly                richli                rich                
ries                  ri                    rie                 
righteous             righteou              righteous           
rightly               rightli               right               
riotous               riotou                riotous             
rootedly              rootedli              root                
ros                   ro                    ros                 
roscius               rosciu                roscius             
roughly               roughli               rough               
roundly               roundli               round               
rous                  rou                   rous                
roy                   roi                   roy                 
rubious               rubiou                rubious             
ruinous               ruinou                ruinous             
runaway               runawai               runaway             
runaways              runawai               runaway             
saturday              saturdai              saturday            
saturdays             saturdai              saturday            
saturninus            saturninu             saturninus          
savoy                 savoi                 savoy               
say                   sai                   say                 
saying                sai                   say                 
sayings               sai                   say                 
says                  sai                   say                 
scarus                scaru                 scarus              
scholarly             scholarli             scholar             
schoolboy             schoolboi             schoolboy           
schoolboys            schoolboi             schoolboy           
secretly              secretli              secret              
seemingly             seemingli             seem                
seleucus              seleucu               seleucus            
sempronius            semproniu             sempronius          
senoys                senoi                 senoy               
serious               seriou                serious             
servilius             serviliu              servilius           
sextus                sextu                 sextus              
shafalus              shafalu               shafalus            
shes                  she                   shes                
shirley               shirlei               shirley             
shortly               shortli               short               
shrewdly              shrewdli              shrewd              
shrewishly            shrewishli            shrewish            
shy                   shy                   shi                 
sicilius              siciliu               sicilius            
sicinius              siciniu               sicinius            
sicklied              sickli                sick                
sickly                sickli                sick                
sies                  si                    sie                 
sightly               sightli               sight               
silius                siliu                 silius              
silverly              silverli              silver              
silvius               silviu                silvius             
singly                singli                singl               
sisterly              sisterli              sister              
skies                 ski                   sky                 
skyey                 skyei                 skyey               
slackly               slackli               slack               
slay                  slai                  slay                
slaying               slai                  slay                
slays                 slai                  slay                
slenderly             slenderli             slender             
slightly              slightli              slight              
slovenly              slovenli              sloven              
sly                   sly                   sli                 
slys                  sly                   slys                
smalus                smalu                 smalus              
smartly               smartli               smart               
smilingly             smilingli             smile               
smoothly              smoothli              smooth              
soberly               soberli               sober               
softly                softli                soft                
solemnly              solemnli              solemn              
solinus               solinu                solinus             
solus                 solu                  solus               
soothsay              soothsai              soothsay            
sossius               sossiu                sossius             
soundly               soundli               sound               
sous                  sou                   sous                
southerly             southerli             souther             
sovereignly           sovereignli           sovereign           
spacious              spaciou               spacious            
sparingly             sparingli             spare               
splay                 splai                 splay               
spray                 sprai                 spray               
sprays                sprai                 spray               
sprightly             sprightli             spright             
spy                   spy                   spi                 
spying                spy                   spi                 
stanley               stanlei               stanley             
starkly               starkli               stark               
startingly            startingli            start               
starvelackey          starvelackei          starvelackey        
statilius             statiliu              statilius           
stay                  stai                  stay                
stayed                stai                  stay                
staying               stai                  stay                
stays                 stai                  stay                
stinkingly            stinkingli            stink               
straightway           straightwai           straightway         
stray                 strai                 stray               
straying              strai                 stray               
strays                strai                 stray               
strictly              strictli              strict              
strongly              strongli              strong              
stroy                 stroi                 stroy               
stubbornly            stubbornli            stubborn            
studious              studiou               studious            
sty                   sty                   sti                 
subtly                subtli                subt                
succeed               succe                 succeed             
successantly          successantli          success             
suddenly              suddenli              sudden              
sumptuous             sumptuou              sumptuous           
sunday                sundai                sunday              
sundays               sundai                sunday              
surplus               surplu                surplus             
surrey                surrei                surrey              
surreys               surrei                surrey              
survey                survei                survey              
surveying             survei                survey              
surveys               survei                survey              
sway                  swai                  sway                
swaying               swai                  sway                
sways                 swai                  sway                
swiftly               swiftli               swift               
tartly                tartli                tart                
tauntingly            tauntingli            taunt               
taurus                tauru                 taurus              
tedious               tediou                tedious             
telamonius            telamoniu             telamonius          
tellus                tellu                 tellus              
tenantius             tenantiu              tenantius           
tenderly              tenderli              tender              
tereus                tereu                 tereus              
theseus               theseu                theseus             
they                  thei                  they                
thirdly               thirdli               third               
this                  thi                   this                
thoroughly            thoroughli            thorough            
throughly             throughli             through             
thursday              thursdai              thursday            
thus                  thu                   thus                
thy                   thy                   thi                 
thymus                thymu                 thymus              
thyreus               thyreu                thyreus             
tibey                 tibei                 tibey               
tied                  ti                    tie                 
ties                  ti                    tie                 
tightly               tightli               tight               
tis                   ti                    tis                 
titinius              titiniu               titinius            
titus                 titu                  titus               
today                 todai                 today               
tomboys               tomboi                tomboy              
tous                  tou                   tous                
towardly              towardli              toward              
toy                   toi                   toy                 
toys                  toi                   toy                 
traitorly             traitorli             traitor             
tray                  trai                  tray                
trebonius             treboniu              trebonius           
tremblingly           tremblingli           trembl              
tres                  tre                   tres                
treys                 trei                  trey                
trippingly            trippingli            trip                
triumphantly          triumphantli          triumphant          
troilus               troilu                troilus             
troublous             troublou              troublous           
troy                  troi                  troy                
try                   try                   tri                 
tuesday               tuesdai               tuesday             
tullus                tullu                 tullus              
turkey                turkei                turkey              
turkeys               turkei                turkey              
twas                  twa                   twas                
tway                  twai                  tway                
twos                  two                   twos                
tying                 ty                    tie                 
unadvisedly           unadvisedli           unadvis             
uncleanly             uncleanli             unclean             
unctuous              unctuou               unctuous            
undoubtedly           undoubtedli           undoubt             
une                   un                    une                 
unearthly             unearthli             unearth             
unfeignedly           unfeignedli           unfeign             
ungodly               ungodli               ungod               
unhous                unhou                 unhous              
unjustly              unjustli              unjust              
unkindly              unkindli              unkind              
unmanly               unmanli               unman               
unmannerly            unmannerli            unmann              
unneighbourly         unneighbourli         unneighbour         
unpay                 unpai                 unpay               
unproperly            unproperli            unprop              
unquietly             unquietli             unquiet             
unsay                 unsai                 unsay               
unseemly              unseemli              unseem              
unsightly             unsightli             unsight             
unstringed            unstring              unstr               
unsway                unswai                unsway              
unswayed              unswai                unsway              
untowardly            untowardli            untoward            
unus                  unu                   unus                
unwillingly           unwillingli           unwil               
unwittingly           unwittingli           unwit               
uprous                uprou                 uprous              
ursley                urslei                ursley              
use                   us                    use                 
used                  us                    use                 
useful                us                    use                 
uses                  us                    use                 
using                 us                    use                 
usurpingly            usurpingli            usurp               
utterly               utterli               utter               
valentinus            valentinu             valentinus          
valerius              valeriu               valerius            
valiantly             valiantli             valiant             
valley                vallei                valley              
valleys               vallei                valley              
varrius               varriu                varrius             
vauntingly            vauntingli            vaunt               
velutus               velutu                velutus             
veneys                venei                 veney               
ventidius             ventidiu              ventidius           
venus                 venu                  venus               
viceroy               viceroi               viceroy             
viceroys              viceroi               viceroy             
vicious               viciou                vicious             
vied                  vi                    vie                 
virginius             virginiu              virginius           
virtuous              virtuou               virtuous            
volley                vollei                volley              
volumnius             volumniu              volumnius           
vous                  vou                   vous                
vulgarly              vulgarli              vulgar              
wantonly              wantonli              wanton              
was                   wa                    was                 
way                   wai                   way                 
waylay                waylai                waylay              
ways                  wai                   way                 
wednesday             wednesdai             wednesday           
weepingly             weepingli             weep                
weraday               weradai               weraday             
